Sovereign State	Country	Map unit	Map sub-unit
Afghanistan	Afghanistan	Afghanistan	Afghanistan
United Kingdom	Akrotiri Sovereign Base Area	Akrotiri Sovereign Base Area	Akrotiri Sovereign Base Area
Finland	Aland	Aland	Aland
United States of America	United States of America	United States of America	Alaska
Albania	Albania	Albania	Albania
United Kingdom	Guernsey	Alderney	Alderney
Algeria	Algeria	Algeria	Algeria
United States of America	American Samoa	American Samoa	American Samoa
India	India	India	Andaman Islands
Andorra	Andorra	Andorra	Andorra
Angola	Angola	Angola	Angola
United Kingdom	Anguilla	Anguilla	Anguilla
Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Annobon
Antarctica	Antarctica	Antarctica	Antarctica
Antigua and Barbuda	Antigua	Antigua	Antigua
Argentina	Argentina	Argentina	Argentina
Armenia	Armenia	Armenia	Armenia
Netherlands	Aruba	Aruba	Aruba
United Kingdom	Saint Helena	Ascension	Ascension
Australia	Ashmore and Cartier Islands	Ashmore and Cartier Islands	Ashmore and Cartier Islands
Australia	Australia	Australia	Australia
Austria	Austria	Austria	Austria
Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan
Portugal	Azores	Azores	Azores
Korea, South	Korea, South	Korea, South	Baengnyeongdo
Bahamas	Bahamas	Bahamas	Bahamas
Bahrain	Bahrain	Bahrain	Bahrain
United States of America	US Minor Outlying Islands	Baker Island	Baker Island
Spain	Spain	Spain	Balearic Is.
Bangladesh	Bangladesh	Bangladesh	Bangladesh
Barbados	Barbados	Barbados	Barbados
Antigua and Barbuda	Barbuda	Barbuda	Barbuda
France	French Southern and Antarctic Lands	French Southern and Antarctic Lands	Bassas da India
Belarus	Belarus	Belarus	Belarus
Belize	Belize	Belize	Belize
Benin	Benin	Benin	Benin
United Kingdom	Bermuda	Bermuda	Bermuda
Bhutan	Bhutan	Bhutan	Bhutan
Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	Bioko
Bolivia	Bolivia	Bolivia	Bolivia
Japan	Japan	Japan	Bonin Islands
Denmark	Denmark	Denmark	Bornholm
Botswana	Botswana	Botswana	Botswana
Papua New Guinea	Papua New Guinea	Bougainville	Bougainville
Norway	Bouvet Island	Bouvet Island	Bouvet Island
Brazil	Brazil	Brazil	Brazil
United Kingdom	British Indian Ocean Territory	British Indian Ocean Territory	British Indian Ocean Territory
United Kingdom	British Virgin Islands	British Virgin Islands	British Virgin Islands
Brunei	Brunei	Brunei	Brunei
Bulgaria	Bulgaria	Bulgaria	Bulgaria
Burkina Faso	Burkina Faso	Burkina Faso	Burkina Faso
Burma	Burma	Burma	Burma
Burundi	Burundi	Burundi	Burundi
Cambodia	Cambodia	Cambodia	Cambodia
Cameroon	Cameroon	Cameroon	Cameroon
Canada	Canada	Canada	Canada
Spain	Spain	Spain	Canary Is.
Cape Verde	Cape Verde	Cape Verde	Cape Verde
United Kingdom	Cayman Islands	Cayman Islands	Cayman Islands
Central African Republic	Central African Republic	Central African Republic	Central African Republic
Spain	Spain	África Septentrional Española	Ceuta
Chad	Chad	Chad	Chad
New Zealand	New Zealand	New Zealand	Chatham Is.
Chile	Chile	Chile	Chile
China	China	China	China
Australia	Indian Ocean Territories	Christmas Island	Christmas Island
France	Clipperton I.	Clipperton I.	Clipperton I.
Australia	Indian Ocean Territories	Cocos (Keeling) Islands	Cocos (Keeling) Islands
Colombia	Colombia	Colombia	Colombia
Comoros	Comoros	Comoros	Comoros
Congo (Brazzaville)	Congo (Brazzaville)	Congo (Brazzaville)	Congo (Brazzaville)
Congo (Kinshasa)	Congo (Kinshasa)	Congo (Kinshasa)	Congo (Kinshasa)
New Zealand	Cook Islands	Cook Islands	Cook Islands
Australia	Coral Sea Islands	Coral Sea Islands	Coral Sea Islands
France	France	France	Corsica
Costa Rica	Costa Rica	Costa Rica	Costa Rica
Cote D’Ivoire	Cote D’Ivoire	Cote D’Ivoire	Cote D’Ivoire
Croatia	Croatia	Croatia	Croatia
Cuba	Cuba	Cuba	Cuba
Cyprus	Cyprus	Cyprus	Cyprus
Czech Republic	Czech Republic	Czech Republic	Czech Republic
Denmark	Denmark	Denmark	Denmark
United Kingdom	Dhekelia Soverign Base Area	Dhekelia Soverign Base Area	Dhekelia Soverign Base Area
Djibouti	Djibouti	Djibouti	Djibouti
Dominica	Dominica	Dominica	Dominica
Dominican Republic	Dominican Republic	Dominican Republic	Dominican Republic
Ecuador	Ecuador	Ecuador	Ecuador
Egypt	Egypt	Egypt	Egypt
El Salvador	El Salvador	El Salvador	El Salvador
United Kingdom	United Kingdom	England	England
Eritrea	Eritrea	Eritrea	Eritrea
Estonia	Estonia	Estonia	Estonia
Ethiopia	Ethiopia	Ethiopia	Ethiopia
France	French Southern and Antarctic Lands	French Southern and Antarctic Lands	Europa I.
United Kingdom	Falkland Islands	Falkland Islands	Falkland Islands
Denmark	Denmark	Faroe Islands	Faroe Islands
Federated States of Micronesia	Federated States of Micronesia	Federated States of Micronesia	Federated States of Micronesia
Fiji	Fiji	Fiji	Fiji
Finland	Finland	Finland	Finland
France	France	France	France
France	France	French Guiana	French Guiana
France	French Polynesia	French Polynesia	French Polynesia
France	French Southern and Antarctic Lands	French Southern and Antarctic Lands	French Southern Antactic Lands
Gabon	Gabon	Gabon	Gabon
Ecuador	Ecuador	Ecuador	Galapagos Islands
Gambia, The	Gambia, The	Gambia, The	Gambia, The
Indeterminate	Palestine	Gaza Strip	Gaza Strip
